course,lecturer,students,venue,room,capacity,timeslot,duration,level
ACC416,Dr. Omodero Onyinyechi Cordelia,72,G301,G301,200,Thursday_1-2,2,400
CHE 530,Prof. Efeovbokhan Vincent Enontiemonria,71,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Tuesday_8-9,2,500
PET411,Mr. Ojegbile Peter Oluwaseyi,71,PSY LAB,PSY LAB,100,Tuesday_3-4,1,400
MKT416,Unknown Lecturer,71,CHEMLAB(HALL 112),CHEMLAB(HALL 112),150,Saturday_3-4,2,400
BIO338,Prof. Nwinyi Obinna Chukwuemeka,71,HALL202,HALL202,450,Friday_2-3,2,300
CHM414,Prof. Williams Akan Bassey,71,CHEM_LAB_112,CHEM_LAB_112,140,Friday_11-12,2,400
CVE434,Dr. Olofinnade Oluwarotimi Michael,71,SQL NEW HORIZON,SQL NEW HORIZON,180,Friday_5-6,2,400
IRH411,Unknown Lecturer,71,STUDIO 400,STUDIO 400,120,Thursday_2-3,2,400
SOC412,Mr. Olore Amos Adebayo,71,MASS COMM STUDIO,MASS COMM STUDIO,120,Thursday_1-2,2,400
PSS413,Unknown Lecturer,71,COMPUTER_LAB,COMPUTER_LAB,300,Saturday_12-1,1,400
PET413,Engr. Dr. Onuh Yunusa Charles,71,LT1,LT1,2500,Monday_1-2,2,400
MCE418,Unknown Lecturer,71,E401A,E401A,180,Tuesday_9-10,2,400
BLD416,Unknown Lecturer,70,E301,E301,220,Wednesday_3-4,2,400
ARC 411,Dr. Omoyeni Fulani,70,LIBRARY,LIBRARY,500,Wednesday_10-11,3,400
POS411,Unknown Lecturer,70,CHAPEL,CHAPEL,1200,Wednesday_10-11,1,400
ENG412,Dr. Language Lecturer (LAN placeholder),70,HALL108,HALL108,350,Saturday_12-1,1,400
POS 413,Unknown Lecturer,70,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Wednesday_10-11,1,400
ESM 417,Unknown Lecturer,70,HALL202,HALL202,450,Saturday_3-4,1,400
CHE310/33 1,Dr. Alagbe Edith Egbimhanlu,70,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Saturday_12-1,1,300
BIO 335,Dr. Isibor Patrick Omoregie,69,MCB LAB(HALL 212),MCB LAB(HALL 212),180,Thursday_1-2,2,300
MAT433,Dr. Mbata Ahamerula Ugochukwu,69,HALL204,HALL204,400,Wednesday_5-6,1,400
CHM499,Dr. Adedapo Emmanuel Adebusayo,69,HALL108,HALL108,350,Friday_2-3,2,400
MCB414,Unknown Lecturer,69,HALL204,HALL204,400,Saturday_2-3,1,400
MAC412,Dr. Peter Ada Sonia,69,CEN500LH,CEN500LH,180,Thursday_12-1,2,400
FIN418,Unknown Lecturer,69,CHE 500LH,CHE 500LH,150,Thursday_10-11,1,400
SOC 412,Prof. George Tayo Ola,69,HALL204,HALL204,400,Tuesday_11-12,2,400
PSY411,Dr. Onyekachi Marcelus Odo,69,FLUID LAB,FLUID LAB,120,Tuesday_2-3,2,400
MAC410,Dr. Oyesomi Kehinde Opeyemi,69,STUDIO400,STUDIO400,120,Monday_9-10,2,400
PHY439,Unknown Lecturer,69,MCE 400LH,MCE 400LH,180,Tuesday_3-4,2,400
PET 411,Engr. Dr. Onuh Yunusa Charles,69,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Monday_11-12,2,400
MAT414,Dr. Imaga Ogbu Famous,69,HALL302PHYLAB,HALL302PHYLAB,180,Wednesday_5-6,1,400
PHY415,Unknown Lecturer,68,STUDIO 22,STUDIO 22,100,Wednesday_2-3,2,400
MCE 411,Unknown Lecturer,68,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Tuesday_11-12,2,400
MCB 413,Unknown Lecturer,68,SEMINARROOM,SEMINARROOM,120,Monday_1-2,2,400
CHM 436,Dr. Adekoya Joseph Adeyemi,68,PSY LAB,PSY LAB,100,Tuesday_5-6,2,400
CHE536,Prof. Ayeni Omoniyi Augustine,68,STUDIO100,STUDIO100,250,Saturday_3-4,2,500
PET418,Mr. Ojegbile Peter Oluwaseyi,68,F401,F401,180,Tuesday_4-5,1,400
BLD412,Unknown Lecturer,68,STUDIO 300,STUDIO 300,180,Saturday_5-6,2,400
MIS 418,Unknown Lecturer,68,C301,C301,220,Saturday_8-9,2,400
BFN/FIN416,Unknown Lecturer,67,F301,F301,220,Monday_2-3,2,400
ICE 414,Unknown Lecturer,67,MCE 400LH,MCE 400LH,180,Wednesday_9-10,1,400
CHM431,Dr. Adedapo Emmanuel Adebusayo,67,CHEM_LAB_112,CHEM_LAB_112,140,Saturday_9-10,2,400
GEC410,Unknown Lecturer,67,HALL306,HALL306,350,Saturday_4-5,2,400
MAT417,Dr. Oluwadare Julius Remi,67,BCH_LAB,BCH_LAB,150,Friday_5-6,2,400
BIO 317,Mr. Oyesola Olusola Luke,67,HALL308,HALL308,250,Thursday_2-3,1,300
BFN/FIN413,Unknown Lecturer,67,PHY_LAB,PHY_LAB,150,Wednesday_5-6,1,400
PSS 413,Unknown Lecturer,66,PET 300LH,PET 300LH,220,Friday_3-4,2,400
